ASIN;SKU;OTTOKOD;DETAY;DESİ-KG;;INVOICE ÜRÜN BEDELİ;US FEDEX KARGO ÜCRETİ;FEDEX İŞLEM ÜCRETİ;DUTY OTAN;DUTY;VERGİ ORANI;VERGİ
B07GXQS5DW;OT-OvalMousepad-PU-Dark Brown;6021-Kahverengi;Mose Pad Oval;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07GXQKX37;OT-OvalMousepad-PU-Black;6021-Siyah;Mouse Pad Oval;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07GXR1J3K;OT-OvalMousepad-PU-Light Brown;6021-Taba;Mose Pad Oval;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B00G43UVEM;ZSTK-Brown Strap;6022-Kahverengi;Kemer-Suni Deri;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B07H2GPM6T;ZSTK-PuStrap-Black;6022-Siyah;Kemer-Suni Deri -3 CM;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B09SG2KP2T;MG-PuStrap-LightBrown;6022-Taba;Kemer-Suni Deri;0,5;;1,00;9,27;1,12;0;0,00;15,0;0,15
B07LG3JTHD;OT-Coaster-PU-Puzzle;6024-Taba/Kahverengi;Bardak Altlığı;0,5;;1,82;9,27;1,12;0;0,00;15,0;0,27
B07NDCL3Z9;OT-GeLetPenCase-Zppr-Prple;6025-Mor;Fermuarlı Kalemlik;0,5;;1,23;9,27;1,12;10,5;0,13;15,0;0,18
B07NDBX8B9;OT-GeLetPenCase-Zppr-Pnk;6025-Pembe;Fermuarlı Kalemlik;0,5;;1,23;9,27;1,12;10,5;0,13;15,0;0,18
B07NDCKBRV;OT-GeLetPenCase-Zppr-Black;6025-Siyah;Fermuarlı Kalemlik;0,5;;1,23;9,27;1,12;10,5;0,13;15,0;0,18
B07NDDPXFS;OT-GeLetPenCase-Zppr-Brown;6025-Taba;Fermuarlı Kalemlik;0,5;;1,23;9,27;1,12;10,5;0,13;15,0;0,18
B07NDBK45P;OT-GeLetPenCase-Rtr-Brwn;6027-Kahverengi;Retro Kalemlik-Soho;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07NDCJ6VP;OT-GeLetPenCase-Rtr-Blu;6027-Mavi;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07NDCCSXF;OT-GeLetPenCase-Rtr-Blck;6027-Siyah;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B0B5XZ2V39;OT-GeLetPenCase-Rtr-Beige;6027-Vizon;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07NDBMFDR;OT-GeLetPenCase-Snp-Brown;6028-Kahverengi;Çivili Kalemlik;0,5;;2,85;9,27;1,12;9,5;0,27;15,0;0,43
B07NDBV32Q;OT-GeLetPenCase-Snp-Black;6028-Siyah;Çivili Kalemlik;0,5;;2,85;9,27;1,12;9,5;0,27;15,0;0,43
B07N93JS95;ZSTK-GeLetWristStrap-Brown;6030-Kahverengi;Bilek Strap-Soho;0,5;;1,95;9,27;1,12;0;0,00;15,0;0,29
B09TR3QVN5;MG-GeLetWristStrap-Blue;6030-Mavi;Bilek Strap;0,5;;1,95;9,27;1,12;0;0,00;15,0;0,29
B07N93S7DM;ZSTK-GeLetWristStrap-Black;6030-Siyah;Bilek Strap;0,5;;1,95;9,27;1,12;0;0,00;15,0;0,29
B09TR1WV52;MG-GeLetWristStrap-Mink;6030-Vizon;Bilek Strap;0,5;;1,95;9,27;1,12;0;0,00;15,0;0,29
B07TC7PD78;OT-GeLetWineCarrier-Brown;6033-Kahverengi;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
